year,total_precipitation,mean_air_temperature,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,total_sunshine_duration,solar_radiation
Jul-13,23.5,18.9,3.9,85,44,208.9,11.8
Aug-13,116,20.2,4.5,84,26,113.6,16.6
Sep-13,110,17.6,4.1,73,40,150.8,13
Oct-13,106.5,11.8,4.8,70,41,139.9,8.4
Nov-13,194.5,5.5,4.7,68,25,71,8
Dec-13,93.5,-0.2,5.9,70,12,33,6.1
Jan-14,105,-5.3,4.4,69,16,44.1,8.2
Feb-14,44,-4.2,5.6,70,34,96.7,10.2
Mar-14,20,-1.2,4.9,69,52,189.9,12.9
Apr-14,34.5,3.9,5.6,73,54,217.2,19.9
May-14,62,8.7,5.2,82,31,141.5,19
Jun-14,144.5,13.9,4.2,82,38,176.1,16.1
Jul-14,44,19.2,4.1,85,34,162.7,15.7
Aug-14,275.5,20,3.8,83,42,182.1,13.6
Sep-14,256.5,16.7,4.3,76,42,158.5,14.3
Oct-14,58.5,11,4.8,64,43,145.1,11
Nov-14,103.5,4.8,4.5,67,35,100.1,7.1
Dec-14,143,-2.3,5.8,69,10,26.6,5.9
Jan-15,55.5,-2.9,5.2,70,18,51.2,7.4
Feb-15,48.5,-1.7,6,73,29,83.3,9.8
Mar-15,105.5,2.3,5,78,32,118.4,14.1
Apr-15,40,5.9,5.4,70,44,178,16.4
May-15,82,9.9,5.1,74,41,186,22.1
Jun-15,132,12.1,4.5,85,27,125.9,16.4
Jul-15,205.5,17.6,4.3,86,28,130.1,16.2
Aug-15,20.5,19,4.2,82,31,135.5,12.3
Sep-15,103.5,17.3,3.8,76,46,173.3,11.7
Oct-15,182.5,10.4,5.9,62,36,121.6,13
Nov-15,62.5,3.7,5.3,67,30,84.8,6.5
Dec-15,110,-0.2,4.2,65,18,49.4,6.8
Jan-16,118.5,-5.2,5.2,64,8,23,7.2
Feb-16,115.5,-4.7,4.7,68,11,34.2,11.1
Mar-16,40,0.5,4.2,65,39,142.8,14.9
Apr-16,82.5,4.3,5.3,75,37,150,17.4
May-16,41.5,11.4,5.1,68,53,245.4,18.3
Jun-16,146,12.5,4.1,83,35,162.8,16.7
Jul-16,154,17.4,4.1,87,35,164.1,15.1
Aug-16,112,21.6,4.4,82,39,170.1,17.1
Sep-16,316,16.6,4.3,78,41,153.6,10.7
Oct-16,132.5,9.5,5,56,27,92.1,11
Nov-16,129.5,0.1,4.3,65,9,25.8,7.8
Dec-16,34.5,-2.6,5.3,63,14,37.2,6.6
Jan-17,47.5,-4.3,4.9,66,15,42.4,7.8
Feb-17,37.5,-3,4.6,67,19,55.2,11.3
Mar-17,43,-0.4,4,69,51,186.8,13.8
Apr-17,68.5,5.3,5.3,70,45,180.6,17.9
May-17,33,9.8,5.6,76,40,184.1,18.1
Jun-17,86.5,12,5.4,83,25,118.4,19.3
Jul-17,97,18.4,4.9,84,27,128.9,16.9
Aug-17,70,18.6,4.4,80,37,161.5,10.8
Sep-17,115,16.9,4.4,73,58,218.2,14.8
Oct-17,104,9.9,4.8,65,44,149.8,7.6
Nov-17,177.5,2.5,4.9,72,16,46.5,7.6
Dec-17,153,-3,4.9,72,11,29.6,6.9
Jan-18,122,-3.6,5.2,75,9,26.6,8.1
Feb-18,75,-5.3,5,71,19,55.9,12.2
Mar-18,95.5,0.1,5.2,72,39,143.3,15.3
Apr-18,32,5.6,5.2,72,49,195.9,16.4
May-18,102,9.5,4.4,82,37,170.7,17.6
Jun-18,114,12.7,5.2,84,24,110.1,18.4
Jul-18,121.5,16.9,4.7,88,34,158.3,19.3
Aug-18,94,18.3,4.5,85,37,162,15.3
Sep-18,56,17.4,4.1,73,58,218.2,10.3
Oct-18,160,12.8,4.5,67,45,154.1,10.1
Nov-18,70,5,4.1,65,19,55.3,8.2
Dec-18,72,-2,5.1,68,8,20.6,6.4
Jan-19,56,-4.1,5.2,70,13,35.5,8.9
Feb-19,46.5,-4.5,3.9,67,32,91.2,10.4
Mar-19,35.5,0.1,4.5,75,42,154.5,14.5
Apr-19,11,5.2,4.7,72,57,229.2,17.6
May-19,48,12.6,5.3,74,57,263,22.7
Jun-19,48.5,13.3,5,86,30,139.2,15.8
Jul-19,88,18,3.8,89,27,128.3,13.4
Aug-19,163.5,18.3,5.1,88,23,101.8,15.9
Sep-19,36.5,18.1,4.3,73,56,208.9,13.2
Oct-19,55,12.4,4.8,69,44,149.5,9.3
Nov-19,69,2.6,5.2,65,15,42.9,8.8
Dec-19,91.5,-2.4,4.9,70,9,24.6,6.8
