year,total_precipitation,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_air_temperature
Mar-19,35.5,4.5,75,42,154.5,11.8,0.1
Apr-19,11,4.7,72,57,229.2,18.5,5.2
May-19,48,5.3,74,57,263,20.9,12.6
Jun-19,48.5,5,86,30,139.2,17.8,13.3
Jul-19,88,3.8,89,27,128.3,15.8,18
Aug-19,163.5,5.1,88,23,101.8,12,18.3
Sep-19,36.5,4.3,73,56,208.9,15.1,18.1
Oct-19,55,4.8,69,44,149.5,9.1,12.4
Nov-19,69,5.2,65,15,42.9,3.6,2.6
Dec-19,91.5,4.9,70,9,24.6,2.7,-2.4
