year,total_precipitation,mean_air_temperature,mean_relative_humidity,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_wind_speed
May-18,102,9.5,82,37,170.7,17,4.4
Jun-18,114,12.7,84,24,110.1,14.6,5.2
Jul-18,121.5,16.9,88,34,158.3,18,4.7
Aug-18,94,18.3,85,37,162,15.1,4.5
Sep-18,56,17.4,73,58,218.2,15.6,4.1
Oct-18,160,12.8,67,45,154.1,9.3,4.5
Nov-18,70,5,65,19,55.3,4.4,4.1
Dec-18,72,-2,68,8,20.6,2.6,5.1
Jan-19,56,-4.1,70,13,35.5,3.8,5.2
Feb-19,46.5,-4.5,67,32,91.2,7.7,3.9
Mar-19,35.5,0.1,75,42,154.5,11.8,4.5
Apr-19,11,5.2,72,57,229.2,18.5,4.7
May-19,48,12.6,74,57,263,20.9,5.3
Jun-19,48.5,13.3,86,30,139.2,17.8,5
Jul-19,88,18,89,27,128.3,15.8,3.8
Aug-19,163.5,18.3,88,23,101.8,12,5.1
Sep-19,36.5,18.1,73,56,208.9,15.1,4.3
Oct-19,55,12.4,69,44,149.5,9.1,4.8
Nov-19,69,2.6,65,15,42.9,3.6,5.2
Dec-19,91.5,-2.4,70,9,24.6,2.7,4.9
