year,total_precipitation,mean_air_temperature,mean_wind_speed,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_relative_humidity
Mar-19,35.5,0.1,4.5,42,154.5,14.5,75
Apr-19,11,5.2,4.7,57,229.2,17.6,72
May-19,48,12.6,5.3,57,263,22.7,74
Jun-19,48.5,13.3,5,30,139.2,15.8,86
Jul-19,88,18,3.8,27,128.3,13.4,89
Aug-19,163.5,18.3,5.1,23,101.8,15.9,88
Sep-19,36.5,18.1,4.3,56,208.9,13.2,73
Oct-19,55,12.4,4.8,44,149.5,9.3,69
Nov-19,69,2.6,5.2,15,42.9,8.8,65
Dec-19,91.5,-2.4,4.9,9,24.6,6.8,70
