year,total_precipitation,mean_air_temperature,mean_wind_speed,mean_relative_humidity,total_sunshine_duration,solar_radiation,percentage_possible_sunshine
Mar-19,35.5,0.1,4.5,75,154.5,11.8,42
Apr-19,11,5.2,4.7,72,229.2,18.5,57
May-19,48,12.6,5.3,74,263,20.9,57
Jun-19,48.5,13.3,5,86,139.2,17.8,30
Jul-19,88,18,3.8,89,128.3,15.8,27
Aug-19,163.5,18.3,5.1,88,101.8,12,23
Sep-19,36.5,18.1,4.3,73,208.9,15.1,56
Oct-19,55,12.4,4.8,69,149.5,9.1,44
Nov-19,69,2.6,5.2,65,42.9,3.6,15
Dec-19,91.5,-2.4,4.9,70,24.6,2.7,9
