year,total_precipitation,mean_air_temperature,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,solar_radiation,total_sunshine_duration
Mar-19,35.5,0.1,4.5,75,42,11.8,154.5
Apr-19,11,5.2,4.7,72,57,18.5,229.2
May-19,48,12.6,5.3,74,57,20.9,263
Jun-19,48.5,13.3,5,86,30,17.8,139.2
Jul-19,88,18,3.8,89,27,15.8,128.3
Aug-19,163.5,18.3,5.1,88,23,12,101.8
Sep-19,36.5,18.1,4.3,73,56,15.1,208.9
Oct-19,55,12.4,4.8,69,44,9.1,149.5
Nov-19,69,2.6,5.2,65,15,3.6,42.9
Dec-19,91.5,-2.4,4.9,70,9,2.7,24.6
